dataset,method,hamming,lev,jac
German,FACE,2.07 $\pm$ 0.20,1.07 $\pm$ 0.20,0.06 $\pm$ 0.12
,FRPD-QUAD,\textbf{3.47} $\pm$ 1.19,\textbf{2.00} $\pm$ 0.67,0.05 $\pm$ 0.07
,FRPD-DPP-GR,2.93 $\pm$ 0.95,1.77 $\pm$ 0.72,\textbf{0.02} $\pm$ 0.06
,FRPD-DPP-LS,2.93 $\pm$ 0.95,1.77 $\pm$ 0.72,\textbf{0.02} $\pm$ 0.06
SBA,FACE,3.40 $\pm$ 1.28,1.90 $\pm$ 0.70,0.06 $\pm$ 0.08
,FRPD-QUAD,\textbf{7.47} $\pm$ 2.00,\textbf{5.03} $\pm$ 1.43,\textbf{0.00} $\pm$ 0.00
,FRPD-DPP-GR,6.40 $\pm$ 1.98,4.47 $\pm$ 1.54,\textbf{0.00} $\pm$ 0.00
,FRPD-DPP-LS,6.33 $\pm$ 1.91,4.47 $\pm$ 1.54,\textbf{0.00} $\pm$ 0.00
Bank,FACE,4.47 $\pm$ 1.61,2.47 $\pm$ 0.99,0.04 $\pm$ 0.07
,FRPD-QUAD,6.93 $\pm$ 1.58,4.17 $\pm$ 0.92,0.01 $\pm$ 0.02
,FRPD-DPP-GR,\textbf{7.20} $\pm$ 2.27,\textbf{4.50} $\pm$ 1.38,\textbf{0.00} $\pm$ 0.00
,FRPD-DPP-LS,\textbf{7.20} $\pm$ 2.27,\textbf{4.50} $\pm$ 1.38,\textbf{0.00} $\pm$ 0.00
Adult,FACE,2.73 $\pm$ 1.28,1.57 $\pm$ 0.83,0.12 $\pm$ 0.28
,FRPD-QUAD,\textbf{7.00} $\pm$ 1.00,3.80 $\pm$ 0.50,\textbf{0.01} $\pm$ 0.02
,FRPD-DPP-GR,6.87 $\pm$ 0.85,\textbf{3.87} $\pm$ 0.43,0.05 $\pm$ 0.13
,FRPD-DPP-LS,6.87 $\pm$ 0.85,\textbf{3.87} $\pm$ 0.43,0.05 $\pm$ 0.13
